site,period,initial_bleaching,final_bleaching,recovery_rate,recovery_proportion,persistence_rate,net_change,max_dhw_2023,temp_sd_2023,max_dhw_2024,temp_sd_2024,relevant_dhw,relevant_temp_sd
Buck Island STT,2024_to_2025_PBL,33.84285714285715,16.666666666666664,17.176190476190484,0.5075277895033068,16.666666666666664,-17.176190476190484,15.5603150326797,1.4750993596128,20.0954895833333,1.2007886276501682,20.0954895833333,1.2007886276501682
Buck Island STX,2024_to_2025_PBL,1.6666666666666667,0,1.6666666666666667,1,0,-1.6666666666666667,NA,NA,NA,NA,NA,NA
Buck Island STX Deep,2024_to_2025_PBL,0.8333333333333334,0,0.8333333333333334,1,0,-0.8333333333333334,5.2900497606019,0.6530844983406299,26.4101727941177,1.1622355980212409,26.4101727941177,1.1622355980212409
Cane Bay,2024_to_2025_PBL,47.291666666666664,2.5,44.791666666666664,0.947136563876652,2.5,-44.791666666666664,17.7278051470588,1.4501196611904563,20.5389687499998,1.1985383889353916,20.5389687499998,1.1985383889353916
Cane Bay Deep,2024_to_2025_PBL,0,0,0,0,0,0,19.0488639705883,1.3703882902964244,23.8875260416667,1.1263528607606854,23.8875260416667,1.1263528607606854
Castle,2024_to_2025_PBL,28.333333333333336,0,28.333333333333336,1,0,-28.333333333333336,18.6817132352941,1.489108238897095,21.6446354166668,1.2111965687786828,21.6446354166668,1.2111965687786828
Coculus Rock,2024_to_2025_PBL,65.46296296296296,27.79545454545455,37.667508417508415,0.5754018258968754,27.79545454545455,-37.667508417508415,18.6060142156863,1.581141616643458,21.8528645833332,1.2631571144444556,21.8528645833332,1.2631571144444556
College Shoal East,2024_to_2025_PBL,0,8.333333333333332,0,0,0,8.333333333333332,17.5813676470589,1.2690168357947764,16.6557604166666,0.972547427247088,16.6557604166666,0.972547427247088
Coral Bay,2024_to_2025_PBL,27.5,6.166666666666667,21.333333333333332,0.7757575757575758,6.166666666666667,-21.333333333333332,22.6133529411764,1.6561318422582616,25.691125,1.3327389549335311,25.691125,1.3327389549335311
Eagle Ray,2024_to_2025_PBL,33.33333333333333,0,33.33333333333333,1,0,-33.33333333333333,18.9731250000001,1.4726989239821158,21.8666770833333,1.231401679324298,21.8666770833333,1.231401679324298
Fish Bay,2024_to_2025_PBL,31.666666666666664,0,31.666666666666664,1,0,-31.666666666666664,19.5525735294118,1.592537010786918,21.5304687500001,1.2385801033719102,21.5304687500001,1.2385801033719102
Flat Cay,2024_to_2025_PBL,38.1936239408044,43.333333333333336,0,0,38.1936239408044,5.139709392528935,16.6577051083594,1.5051968219487035,20.2400104166666,1.2143689742988697,20.2400104166666,1.2143689742988697
Grammanik Tiger FSA,2024_to_2025_PBL,0.5,0.27777777777777835,0.22222222222222165,0.4444444444444433,0.27777777777777835,-0.22222222222222165,19.2382316176469,1.1946356012471335,20.0569947916665,0.8837633846823836,20.0569947916665,0.8837633846823836
Great Pond,2024_to_2025_PBL,81.41666666666667,0,81.41666666666667,1,0,-81.41666666666667,17.2090147058825,1.5546868339345872,23.1001354166666,1.2591555138759778,23.1001354166666,1.2591555138759778
Hind Bank East FSA,2024_to_2025_PBL,1,2.166666666666667,0,0,1,1.166666666666667,17.1795073529413,1.1410958454154645,18.2382135416667,0.8508020227084803,18.2382135416667,0.8508020227084803
Jacks Bay,2024_to_2025_PBL,20.833333333333336,20.833333333333336,0,0,20.833333333333336,0,17.3065882352939,1.478698307821557,21.6920520833334,1.202766880635289,21.6920520833334,1.202766880635289
Kings Corner,2024_to_2025_PBL,32.5,0,32.5,1,0,-32.5,19.1045073529412,1.4481546443265845,21.4310833333334,1.1486018148352506,21.4310833333334,1.1486018148352506
Lang Bank EEMP,2024_to_2025_PBL,33.33333333333333,17.5,15.833333333333329,0.4749999999999999,17.5,-15.833333333333329,20.791669117647,1.449241858852313,24.4111562500001,1.172375820619925,24.4111562500001,1.172375820619925
Lang Bank Red Hind FSA,2024_to_2025_PBL,0,0,0,0,0,0,21.0152279411765,1.4531076342518248,25.53428125,1.1715591928963724,25.53428125,1.1715591928963724
Magens Bay,2024_to_2025_PBL,60.63333333333333,8.208333333333334,52.425,0.8646234194612424,8.208333333333334,-52.425,18.4003088235294,1.5053253842947103,22.4826666666667,1.2729671779603262,22.4826666666667,1.2729671779603262
Meri Shoal,2024_to_2025_PBL,10,5.833333333333334,4.166666666666666,0.41666666666666663,5.833333333333334,-4.166666666666666,19.9913823529413,1.4573592333890055,20.9163749999999,1.151309846544644,20.9163749999999,1.151309846544644
Mutton Snapper FSA,2024_to_2025_PBL,16.666666666666664,0,16.666666666666664,1,0,-16.666666666666664,2.1019268207283,0.6297786113512291,23.5598645833334,1.1261677160343573,23.5598645833334,1.1261677160343573
Salt River Deep,2024_to_2025_PBL,13,4,9,0.6923076923076923,4,-9,21.7425514705883,1.4319169446270368,25.4333437500001,1.1839182243565034,25.4333437500001,1.1839182243565034
Salt River West,2024_to_2025_PBL,47.5,0,47.5,1,0,-47.5,14.3500129901959,1.4481930569522878,3.3019514705883,1.0072455105963614,3.3019514705883,1.0072455105963614
Savana,2024_to_2025_PBL,42.33149509803922,0,42.33149509803922,1,0,-42.33149509803922,18.7343749999999,1.4002370595900866,21.4048645833333,1.1909445608249103,21.4048645833333,1.1909445608249103
Seahorse Cottage Shoal,2024_to_2025_PBL,40.35218253968253,2.5,37.85218253968253,0.9380454824830977,2.5,-37.85218253968253,19.3086727941177,1.4889972585289086,22.5131510416666,1.204717353273107,22.5131510416666,1.204717353273107
South Capella,2024_to_2025_PBL,3.3333333333333335,2.5,0.8333333333333335,0.25000000000000006,2.5,-0.8333333333333335,20.2945551470588,1.4689323288035925,23.0204010416666,1.2180817483054034,23.0204010416666,1.2180817483054034
South Water,2024_to_2025_PBL,15.888888888888882,0.3333333333333333,15.555555555555548,0.979020979020979,0.3333333333333333,-15.555555555555548,15.7572720588235,1.4768584621942715,18.9618541666667,1.1896079154902557,18.9618541666667,1.1896079154902557
Sprat Hole,2024_to_2025_PBL,64.16666666666667,0,64.16666666666667,1,0,-64.16666666666667,18.3977941176469,1.4473839590316795,21.2626145833334,1.1732321410231907,21.2626145833334,1.1732321410231907
St James,2024_to_2025_PBL,0,0,0,0,0,0,16.2815220588234,1.4867354015981291,20.3988854166667,1.20700863105462,20.3988854166667,1.20700863105462
