site,year,period,replicate,ncolonies,prev_bleached,prev_verypale,prev_anybleaching,prev_nobleaching
Black Point,2022,Annual,3.5,122,0.275997150997151,0,0.275997150997151,99.72400284900286
Black Point,2023,Annual,3.5,93.33333333333333,13.893605655573733,4.8069291819291795,18.174359623827698,81.8256403761723
Black Point,2024,Annual,3.5,54.833333333333336,4.408156576298162,2.78971765697429,7.197874233272467,92.80212576672753
Black Point,2024,PBL,3.5,54.16666666666667,0,0,0,100
Black Point,2025,PBL,3.5,50,0.5119825708061,0,0.5119825708061,99.4880174291939
Botany Bay,2022,Annual,3.5,24.666666666666668,0.38759689922480667,0,0.38759689922480667,99.6124031007752
Botany Bay,2023,Annual,3.5,31.333333333333332,3.3723522853957566,0.43859649122807004,3.8109487766238264,96.18905122337618
Botany Bay,2024,Annual,3.5,30.833333333333332,11.142429193899787,0,11.142429193899787,88.85757080610021
Botany Bay,2024,PBL,3.5,21.5,0.39682539682539664,0,0.39682539682539664,99.60317460317461
Botany Bay,2025,PBL,3.5,21.5,0.7575757575757585,0.555555555555555,1.3131313131313134,98.6868686868687
Brewers Bay,2022,Annual,3.5,22.833333333333332,1.1160714285714284,0,1.1160714285714284,98.88392857142857
Brewers Bay,2023,Annual,3.5,21.5,8.722573697671297,0,8.722573697671297,91.2774263023287
Brewers Bay,2024,Annual,3.5,20.333333333333332,0.5747126436781617,0,0.5747126436781617,99.42528735632183
Brewers Bay,2024,PBL,3.5,17.166666666666668,0,0,0,100
Brewers Bay,2025,PBL,3.5,17.666666666666668,1.0416666666666667,0,1.0416666666666667,98.95833333333333
Buck Island STT,2022,Annual,3.5,34.166666666666664,0.2487562189054733,0,0.2487562189054733,99.75124378109453
Buck Island STT,2023,Annual,3.5,42.666666666666664,2.3023504273504267,1.25,3.5523504273504267,96.44764957264957
Buck Island STT,2024,Annual,3.5,41.333333333333336,13.501821493624783,0.7428214731585517,14.244642966783328,85.75535703321667
Buck Island STT,2024,PBL,3.5,39.833333333333336,0,0.27777777777777835,0.27777777777777835,99.72222222222221
Buck Island STT,2025,PBL,3.5,26,0.4901960784313733,0,0.4901960784313733,99.50980392156863
Buck Island STX,2022,Annual,3.5,12.833333333333334,0,0,0,100
Buck Island STX,2023,Annual,3.5,14.666666666666666,10.313991563991568,1.2820512820512815,11.596042846042852,88.40395715395715
Buck Island STX,2024,Annual,3.5,11.166666666666666,0,0,0,100
Buck Island STX,2024,PBL,3.5,11.5,0,0,0,100
Buck Island STX,2025,PBL,3.5,11,0,0,0,100
Buck Island STX Deep,2022,Annual,3.5,10.666666666666666,1.6666666666666667,0,1.6666666666666667,98.33333333333333
Buck Island STX Deep,2023,Annual,3.5,9.166666666666666,0,0,0,100
Buck Island STX Deep,2024,Annual,3.5,10.833333333333334,0,0,0,100
Buck Island STX Deep,2024,PBL,3.5,9.833333333333334,0,0,0,100
Buck Island STX Deep,2025,PBL,3.5,9.166666666666666,0,0,0,100
Cane Bay,2022,Annual,3.5,12.5,1.6666666666666667,0,1.6666666666666667,98.33333333333333
Cane Bay,2023,Annual,3.5,17.333333333333332,2.5132275132275135,0,2.5132275132275135,97.48677248677248
Cane Bay,2024,Annual,3.5,11.5,9.025832555244316,0,9.025832555244316,90.97416744475568
Cane Bay,2024,PBL,3.5,14.333333333333334,0,0,0,100
Cane Bay,2025,PBL,3.5,19.166666666666668,1.3888888888888884,0,1.3888888888888884,98.61111111111111
Cane Bay Deep,2022,Annual,3.5,6.833333333333333,0,0,0,100
Cane Bay Deep,2023,Annual,3.5,6,0,0,0,100
Cane Bay Deep,2024,Annual,3.5,7.833333333333333,0,0,0,100
Cane Bay Deep,2024,PBL,3.5,7,2.7777777777777835,0,2.7777777777777835,97.22222222222221
Cane Bay Deep,2025,PBL,3.5,6.333333333333333,0,0,0,100
Castle,2022,Annual,3.5,14.833333333333334,1.19047619047619,0,1.19047619047619,98.80952380952382
Castle,2023,Annual,3.5,18.5,2.9629629629629615,0.7936507936507933,3.756613756613755,96.24338624338623
Castle,2024,Annual,3.5,11.833333333333334,3.125,0,3.125,96.875
Castle,2024,PBL,3.5,14.666666666666666,0,0,0,100
Castle,2025,PBL,3.5,9.666666666666666,0,0,0,100
Coculus Rock,2022,Annual,3.5,16.166666666666668,0,0,0,100
Coculus Rock,2023,Annual,3.5,52.5,17.91464043619215,2.50305250305251,20.417692939244663,79.58230706075534
Coculus Rock,2024,Annual,3.5,79.5,3.2479529899254667,0.15290519877675832,3.4008581887022267,96.59914181129777
Coculus Rock,2024,PBL,3.5,76.66666666666666,0.11737089201877933,0,0.11737089201877933,99.88262910798122
Coculus Rock,2025,PBL,3.5,54.166666666666664,1.685543782730484,0.8403361344537817,2.5258799171842656,97.47412008281573
College Shoal East,2022,Annual,3.5,13.166666666666666,0,0,0,100
College Shoal East,2023,Annual,3.5,15.166666666666666,2.5641025641025665,0,2.5641025641025665,97.43589743589743
College Shoal East,2024,Annual,3.5,14.666666666666666,0,0,0,100
College Shoal East,2024,PBL,3.5,11,0,0,0,100
College Shoal East,2025,PBL,3.5,11.166666666666666,0,0.7575757575757585,0.7575757575757585,99.24242424242425
Coral Bay,2022,Annual,3.5,23.5,0,0,0,100
Coral Bay,2023,Annual,3.5,22.833333333333332,3.688894912803823,0.9803921568627451,3.688894912803823,96.31110508719618
Coral Bay,2024,Annual,3.5,19.5,3.14814814814815,0,3.14814814814815,96.85185185185183
Coral Bay,2024,PBL,3.5,21.166666666666668,0,0,0,100
