site,period_p1,initial_bleaching_p1,final_bleaching_p1,response_magnitude_p1,recovery_achieved_p1,recovery_proportion_p1,persistence_rate_p1,worsening_achieved_p1,period_p2,initial_bleaching_p2,final_bleaching_p2,response_magnitude_p2,recovery_achieved_p2,recovery_proportion_p2,persistence_rate_p2,worsening_achieved_p2,recovery_change,response_consistency,pattern_classification,recovery_trajectory,mean_max_dhw,max_max_dhw,mean_temp_variability,total_thermal_weeks,thermal_years_available,temporal_observations,mean_bleaching_extent,max_bleaching_extent,min_bleaching_extent,bleaching_range,bleaching_variability,recovery_performance,thermal_stress_level,impact_severity,temporal_variability
Eagle Ray,2023_to_2024_PBL,33.33333333333333,16.666666666666664,-16.666666666666664,16.666666666666664,0.5,16.666666666666664,0,2024_to_2025_PBL,33.33333333333333,0,-33.33333333333333,33.33333333333333,1,0,0,16.666666666666664,Improving Performance,Consistent Moderate Recovery,Accelerating Recovery,20.419901041666698,21.8666770833333,1.3520503016532068,53,2,5,17.066666666666663,33.33333333333333,0,33.33333333333333,16.18366803636033,Strong Recovery,Moderate Thermal Stress,NA,Moderate Variability
Fish Bay,2023_to_2024_PBL,40.416666666666664,15,-25.416666666666664,25.416666666666664,0.6288659793814433,15,0,2024_to_2025_PBL,31.666666666666664,0,-31.666666666666664,31.666666666666664,1,0,0,6.25,Moderately Consistent,Consistent Moderate Recovery,Stable Recovery Rate,20.54152113970595,21.5304687500001,1.415558557079414,58,2,5,17.416666666666664,40.416666666666664,0,40.416666666666664,18.334280278574706,Strong Recovery,High Thermal Stress,NA,Moderate Variability
Flat Cay,2023_to_2024_PBL,67.17789001122335,31.666666666666664,-35.51122334455669,35.51122334455669,0.5286147471827987,31.666666666666664,0,2024_to_2025_PBL,38.1936239408044,43.333333333333336,5.139709392528935,0,0,38.1936239408044,5.139709392528935,-35.51122334455669,Declining Performance,Declining Recovery Capacity,Decelerating Recovery,18.448857762513,20.2400104166666,1.3597828981237865,51,2,5,36.75525517135793,67.17789001122335,3.404761904761905,63.77312810646145,22.96206579185066,No Recovery,Low Thermal Stress,NA,Moderate Variability
Grammanik Tiger FSA,2023_to_2024_PBL,36.777777777777786,6.083333333333333,-30.694444444444457,30.694444444444457,0.8345921450151058,6.083333333333333,0,2024_to_2025_PBL,0.5,0.27777777777777835,-0.22222222222222163,0.22222222222222163,0.4444444444444433,0.27777777777777835,0,-30.472222222222232,Declining Performance,Declining Recovery Capacity,Decelerating Recovery,19.6476132046567,20.0569947916665,1.0391994929647586,57,2,5,9.194444444444446,36.777777777777786,0.27777777777777835,36.50000000000001,15.594024852843836,Minimal Recovery,Low Thermal Stress,NA,Low Variability
Great Pond,2023_to_2024_PBL,14.083333333333334,0,-14.083333333333334,14.083333333333334,1,0,0,2024_to_2025_PBL,81.41666666666667,0,-81.41666666666667,81.41666666666667,1,0,0,67.33333333333334,Improving Performance,Improving Recovery Capacity,Accelerating Recovery,20.15457506127455,23.1001354166666,1.4069211739052825,60,2,5,19.76666666666667,81.41666666666667,0,81.41666666666667,34.94466856490574,Exceptional Recovery,Moderate Thermal Stress,NA,High Variability
Hind Bank East FSA,2023_to_2024_PBL,4.777777777777779,0,-4.777777777777779,4.777777777777779,1,0,0,2024_to_2025_PBL,1,2.166666666666667,1.166666666666667,0,0,1,1.166666666666667,-4.777777777777779,Highly Consistent,Variable Response,Stable Recovery Rate,17.708860447303998,18.2382135416667,0.9959489340619724,56,2,5,1.9222222222222225,4.777777777777779,0,4.777777777777779,1.7905789118344309,No Recovery,Minimal Thermal Stress,NA,Minimal Variability
Jacks Bay,2023_to_2024_PBL,32.5,0,-32.5,32.5,1,0,0,2024_to_2025_PBL,20.833333333333336,20.833333333333336,0,0,0,20.833333333333336,0,-32.5,Declining Performance,Declining Recovery Capacity,Decelerating Recovery,19.49932015931365,21.6920520833334,1.340732594228423,53,2,5,15.5,32.5,0,32.5,13.547755041580382,No Recovery,Low Thermal Stress,NA,Low Variability
Kings Corner,2023_to_2024_PBL,15,0,-15,15,1,0,0,2024_to_2025_PBL,32.5,0,-32.5,32.5,1,0,0,17.5,Improving Performance,Improving Recovery Capacity,Accelerating Recovery,20.2677953431373,21.4310833333334,1.2983782295809174,53,2,5,10.333333333333334,32.5,0,32.5,13.826805688790003,Strong Recovery,Moderate Thermal Stress,NA,Low Variability
Lang Bank EEMP,2023_to_2024_PBL,63.333333333333336,10,-53.333333333333336,53.333333333333336,0.8421052631578947,10,0,2024_to_2025_PBL,33.33333333333333,17.5,-15.833333333333329,15.833333333333329,0.4749999999999999,17.5,0,-37.50000000000001,Declining Performance,Consistent Moderate Recovery,Decelerating Recovery,22.60141268382355,24.4111562500001,1.310808839736119,59,2,5,24.933333333333334,63.333333333333336,0.5,62.833333333333336,24.59861107190133,Moderate Recovery,High Thermal Stress,NA,High Variability
Lang Bank Red Hind FSA,2023_to_2024_PBL,17.5,4.166666666666666,-13.333333333333334,13.333333333333334,0.761904761904762,4.166666666666666,0,2024_to_2025_PBL,0,0,0,0,0,0,0,-13.333333333333334,Moderately Consistent,Variable Response,Stable Recovery Rate,23.27475459558825,25.53428125,1.3123334135740987,54,2,5,5.444444444444445,17.5,0,17.5,7.180971941505645,No Recovery,High Thermal Stress,NA,Minimal Variability
