prev_bleaching_category,n_sites,mean_recovery,median_recovery,sd_recovery,q25_recovery,q75_recovery,prop_positive_recovery,prop_strong_recovery
Low Previous Impact,9,17.42283950617284,9,26.351156422202425,0.8333333333333334,16.666666666666664,0.7777777777777778,0.4444444444444444
Moderate Previous Impact,7,20.155009503801523,17.176190476190484,19.710669366631414,2.083333333333333,37.475271358543424,0.7142857142857143,0.5714285714285714
High Previous Impact,8,24.705902777777776,16.777777777777775,27.64597406344886,0,48.73125,0.625,0.5
Severe Previous Impact,8,28.10861216329966,30,15.880153158028385,19.958333333333332,37.71367694805194,0.875,0.875
