dhw_2024_category,n_sites,mean_recovery,median_recovery,sd_recovery,q25_recovery,q75_recovery,prop_positive_recovery,prop_strong_recovery
Low Current Stress,8,10.056746031746032,0.11111111111111081,16.836147695853214,0,15.960714285714282,0.5,0.375
Moderate Current Stress,8,33.975712680905694,37.41574754901961,22.29741788487523,24.791666666666668,46.63938492063492,0.875,0.75
High Current Stress,8,27.88296732202982,32.976190476190474,18.357233707943816,21.458333333333332,37.71367694805194,0.875,0.75
Extreme Current Stress,8,18.135416666666664,12.416666666666664,26.893452967218625,0.625,17.833333333333332,0.75,0.5
