site,period_p1,initial_bleaching_p1,final_bleaching_p1,response_magnitude_p1,recovery_achieved_p1,recovery_proportion_p1,persistence_rate_p1,worsening_achieved_p1,period_p2,initial_bleaching_p2,final_bleaching_p2,response_magnitude_p2,recovery_achieved_p2,recovery_proportion_p2,persistence_rate_p2,worsening_achieved_p2,recovery_change,response_consistency,pattern_classification,recovery_trajectory,max_dhw_2023,max_dhw_2024,temp_sd_2023,temp_sd_2024,total_dhw_accumulation_2023,total_dhw_accumulation_2024,cumulative_dhw,thermal_variability,stress_escalation
Fish Bay,2023_to_2024_PBL,40.416666666666664,15,-25.416666666666664,25.416666666666664,0.6288659793814433,15,0,2024_to_2025_PBL,31.666666666666664,0,-31.666666666666664,31.666666666666664,1,0,0,6.25,6.25,Consistent Moderate Recovery,Stable Recovery Rate,19.5525735294118,21.5304687500001,1.592537010786918,1.2385801033719102,285.51578676470666,435.04914583333453,41.0830422794119,2.831117114158828,1.9778952205883016
Flat Cay,2023_to_2024_PBL,67.17789001122335,31.666666666666664,-35.51122334455669,35.51122334455669,0.5286147471827987,31.666666666666664,0,2024_to_2025_PBL,38.1936239408044,43.333333333333336,5.139709392528935,0,0,38.1936239408044,5.139709392528935,-35.51122334455669,35.51122334455669,Declining Recovery Capacity,Decelerating Recovery,16.6577051083594,20.2400104166666,1.5051968219487035,1.2143689742988697,209.24727089783576,374.00325520833405,36.897715525026,2.719565796247573,3.5823053083071983
Grammanik Tiger FSA,2023_to_2024_PBL,36.777777777777786,6.083333333333333,-30.694444444444454,30.694444444444454,0.8345921450151058,6.083333333333333,0,2024_to_2025_PBL,0.5,0.27777777777777835,-0.22222222222222165,0.22222222222222165,0.4444444444444433,0.27777777777777835,0,-30.472222222222232,30.472222222222232,Declining Recovery Capacity,Decelerating Recovery,19.2382316176469,20.0569947916665,1.1946356012471335,0.8837633846823836,251.30828308823388,256.04567187499936,39.2952264093134,2.078398985929517,0.8187631740196011
Great Pond,2023_to_2024_PBL,14.083333333333334,0,-14.083333333333334,14.083333333333334,1,0,0,2024_to_2025_PBL,81.41666666666667,0,-81.41666666666667,81.41666666666667,1,0,0,67.33333333333334,67.33333333333334,Improving Recovery Capacity,Accelerating Recovery,17.2090147058825,23.1001354166666,1.5546868339345872,1.2591555138759778,238.22176470588448,457.8513958333324,40.3091501225491,2.813842347810565,5.891120710784101
Hind Bank East FSA,2023_to_2024_PBL,4.777777777777779,0,-4.777777777777779,4.777777777777779,1,0,0,2024_to_2025_PBL,1,2.166666666666667,1.166666666666667,0,0,1,1.166666666666667,-4.777777777777779,4.777777777777779,Variable Response,Stable Recovery Rate,17.1795073529413,18.2382135416667,1.1410958454154645,0.8508020227084803,242.61063235294296,228.7104062500002,35.417720894607996,1.9918978681239448,1.0587061887253988
Jacks Bay,2023_to_2024_PBL,32.5,0,-32.5,32.5,1,0,0,2024_to_2025_PBL,20.833333333333336,20.833333333333336,0,0,0,20.833333333333336,0,-32.5,32.5,Declining Recovery Capacity,Decelerating Recovery,17.3065882352939,21.6920520833334,1.478698307821557,1.202766880635289,235.85063235293848,412.6691354166673,38.9986403186273,2.681465188456846,4.3854638480395
Kings Corner,2023_to_2024_PBL,15,0,-15,15,1,0,0,2024_to_2025_PBL,32.5,0,-32.5,32.5,1,0,0,17.5,17.5,Improving Recovery Capacity,Accelerating Recovery,19.1045073529412,21.4310833333334,1.4481546443265845,1.1486018148352506,257.89752941176414,408.7975520833331,40.5355906862746,2.596756459161835,2.3265759803921995
Lang Bank EEMP,2023_to_2024_PBL,63.333333333333336,10,-53.333333333333336,53.333333333333336,0.8421052631578947,10,0,2024_to_2025_PBL,33.33333333333333,17.5,-15.833333333333329,15.833333333333329,0.4749999999999999,17.5,0,-37.50000000000001,37.50000000000001,Consistent Moderate Recovery,Decelerating Recovery,20.791669117647,24.4111562500001,1.449241858852313,1.172375820619925,342.2859558823519,509.2979127155174,45.2028253676471,2.621617679472238,3.6194871323531004
Lang Bank Red Hind FSA,2023_to_2024_PBL,17.5,4.166666666666666,-13.333333333333334,13.333333333333334,0.761904761904762,4.166666666666666,0,2024_to_2025_PBL,0,0,0,0,0,0,0,-13.333333333333334,13.333333333333334,Variable Response,Stable Recovery Rate,21.0152279411765,25.53428125,1.4531076342518248,1.1715591928963724,304.8195294117662,497.9573541666674,46.5495091911765,2.6246668271481974,4.519053308823498
Magens Bay,2023_to_2024_PBL,35.766666666666666,0,-35.766666666666666,35.766666666666666,1,0,0,2024_to_2025_PBL,60.63333333333333,8.208333333333334,-52.425,52.425,0.8646234194612424,8.208333333333334,0,16.65833333333333,16.65833333333333,Consistent Strong Recovery,Accelerating Recovery,18.4003088235294,22.4826666666667,1.5053253842947103,1.2729671779603262,248.62369117647168,290.54055208333443,40.8829754901961,2.7782925622550367,4.082357843137299
Meri Shoal,2023_to_2024_PBL,26.666666666666664,0,-26.666666666666664,26.666666666666664,1,0,0,2024_to_2025_PBL,10,5.833333333333334,-4.166666666666666,4.166666666666666,0.41666666666666663,5.833333333333334,0,-22.5,22.5,Variable Response,Decelerating Recovery,19.9913823529413,20.9163749999999,1.4573592333890055,1.151309846544644,258.27507352941234,369.958052083333,40.9077573529412,2.60866907993365,0.9249926470585983
Mutton Snapper FSA,2023_to_2024_PBL,0,0,0,0,0,0,0,2024_to_2025_PBL,16.666666666666664,0,-16.666666666666664,16.666666666666664,1,0,0,16.666666666666664,16.666666666666664,Variable Response,Accelerating Recovery,2.1019268207283,23.5598645833334,0.6297786113512291,1.1261677160343573,15.8153925070029,493.1688854166704,25.661791404061702,1.7559463273855864,21.4579377626051
Salt River Deep,2023_to_2024_PBL,15,0,-15,15,1,0,0,2024_to_2025_PBL,13,4,-9,9,0.6923076923076923,4,0,-6,6,Variable Response,Stable Recovery Rate,21.7425514705883,25.4333437500001,1.4319169446270368,1.1839182243565034,341.4909485294118,543.885197916669,47.1758952205884,2.61583516898354,3.6907922794117987
Salt River West,2023_to_2024_PBL,38,0,-38,38,1,0,0,2024_to_2025_PBL,47.5,0,-47.5,47.5,1,0,0,9.5,9.5,Consistent Strong Recovery,Stable Recovery Rate,14.3500129901959,3.3019514705883,1.4481930569522878,1.0072455105963614,178.09239117646862,6.4565737745099,17.6519644607842,2.455438567548649,-11.0480615196076
Savana,2023_to_2024_PBL,23.055555555555543,1,-22.055555555555543,22.055555555555543,0.9566265060240964,1,0,2024_to_2025_PBL,42.33149509803922,0,-42.33149509803922,42.33149509803922,1,0,0,20.275939542483677,20.275939542483677,Consistent Moderate Recovery,Accelerating Recovery,18.7343749999999,21.4048645833333,1.4002370595900866,1.1909445608249103,231.02179342287948,337.31983333333267,40.1392395833332,2.591181620414997,2.6704895833333993
Seahorse Cottage Shoal,2023_to_2024_PBL,55.09587251828631,0,-55.09587251828631,55.09587251828631,1,0,0,2024_to_2025_PBL,40.35218253968253,2.5,-37.85218253968253,37.85218253968253,0.9380454824830977,2.5,0,-17.243689978603783,17.243689978603783,Consistent Strong Recovery,Decelerating Recovery,19.3086727941177,22.5131510416666,1.4889972585289086,1.204717353273107,265.7715204377036,437.68579687499914,41.8218238357843,2.6937146118020157,3.2044782475488987
South Capella,2023_to_2024_PBL,15,5,-10,10,0.6666666666666666,5,0,2024_to_2025_PBL,3.3333333333333335,2.5,-0.8333333333333335,0.8333333333333335,0.25000000000000006,2.5,0,-9.166666666666666,9.166666666666666,Variable Response,Stable Recovery Rate,20.2945551470588,23.0204010416666,1.4689323288035925,1.2180817483054034,292.1810882352926,444.8850729166653,43.314956188725404,2.687014077108996,2.7258458946077972
South Water,2023_to_2024_PBL,1.6666666666666667,0,-1.6666666666666667,1.6666666666666667,1,0,0,2024_to_2025_PBL,15.888888888888882,0.3333333333333333,-15.555555555555548,15.555555555555548,0.979020979020979,0.3333333333333333,0,13.888888888888882,13.888888888888882,Variable Response,Accelerating Recovery,15.7572720588235,18.9618541666667,1.4768584621942715,1.1896079154902557,197.450676470588,306.2065833333333,34.7191262254902,2.666466377684527,3.2045821078432013
Sprat Hole,2023_to_2024_PBL,33.33333333333333,13.333333333333334,-19.999999999999993,19.999999999999993,0.5999999999999999,13.333333333333334,0,2024_to_2025_PBL,64.16666666666667,0,-64.16666666666667,64.16666666666667,1,0,0,44.16666666666668,44.16666666666668,Consistent Moderate Recovery,Accelerating Recovery,18.3977941176469,21.2626145833334,1.4473839590316795,1.1732321410231907,235.15637499999792,396.6520104166693,39.6604087009803,2.6206161000548702,2.864820465686499
St James,2023_to_2024_PBL,32.916666666666664,0,-32.916666666666664,32.916666666666664,1,0,0,2024_to_2025_PBL,0,0,0,0,0,0,0,-32.916666666666664,32.916666666666664,Declining Recovery Capacity,Decelerating Recovery,16.2815220588234,20.3988854166667,1.4867354015981291,1.20700863105462,204.61590441176315,354.6255104166676,36.6804074754901,2.693744032652749,4.117363357843303
