site,year,max_dhw,max_weekly_temp,mean_weekly_temp,temp_range,temp_sd,weeks_above_29,weeks_above_30,weeks_with_dhw,total_dhw_accumulation,mean_weekly_change,max_weekly_change,weeks_increasing,weeks_decreasing,cv_temperature
Black Point,2023,18.7954352355072,30.6296956521739,28.587150704129066,4.6602633605072015,1.549423166410273,25,12,24,262.45696467391207,0.25707813806438856,0.9038385416666976,27,25,0.05419998594636007
Black Point,2024,21.351953125,31.0934427083333,29.150488502358495,3.8873906249999983,1.2319053720220952,31,18,29,394.9858906250003,0.1991849959935922,0.6201302083333005,27,25,0.04226019649456045
Botany Bay,2023,18.9528676470588,30.3707794117647,28.31486431742508,4.393044117647101,1.4372170413064727,23,8,23,259.78457352941143,0.1997569287330306,0.742647058823497,25,27,0.0507583940786184
Botany Bay,2024,22.0253333333333,30.8020625,28.808143289863118,4.008805147058801,1.2204960819072124,27,9,28,320.9978958333326,0.19868502545249422,0.5455416666667006,27,25,0.04236635695771047
Brewers Bay,2023,16.403605882353,30.6259779411765,28.55542513873474,4.7108750000000015,1.551713904328569,25,11,22,205.27826323529436,0.2614196832579097,0.7902573529411008,26,26,0.05434042381752905
Brewers Bay,2024,20.7417083333334,31.1653541666667,29.400506342653923,4.0063046617162,1.1971937961944497,31,18,27,370.7921145833344,0.21967962167541136,0.8003747374736996,19,26,0.04072017611674852
Buck Island STT,2023,15.5603150326797,30.4566470588235,28.47123693735356,4.336580882352898,1.4750993596128,24,10,22,204.82364803921467,0.22314328494217694,0.7813823529412005,27,25,0.051810160649448496
Buck Island STT,2024,20.0954895833333,30.9118854166667,29.04344902654458,3.717282475490201,1.2007886276501682,29,14,29,349.16428124999914,0.16414339413650383,0.8395104166666023,31,21,0.04134456023293564
Buck Island STX Deep,2023,5.2900497606019,29.8808953488372,28.9332258891929,1.8286931429548012,0.6530844983406299,5,0,8,35.7068686730505,0.2612418775649716,0.5549632352940996,0,7,0.02257212869528555
Buck Island STX Deep,2024,26.4101727941177,30.7397536764706,28.953685089483912,3.9172316176471007,1.1622355980212407,29,9,32,563.0641283700984,0.17507236283936706,0.5518088235293988,31,21,0.04014119772420158
Cane Bay,2023,17.7278051470588,30.5414191176471,28.494597114317425,4.3668382352942,1.4501196611904563,25,9,21,217.84670220588248,0.22038532239819475,1.0597647058823014,27,25,0.050891039286245165
Cane Bay,2024,20.5389687499998,30.9511145833333,29.110826333009612,3.8290557598039,1.1985383889353916,30,14,29,328.1628854166642,0.1651626661481825,0.5325677083332998,29,23,0.04117156879110415
Cane Bay Deep,2023,19.0488639705883,30.1998823529412,28.30286514983352,3.9706654411765,1.3703882902964244,23,4,25,293.54267647058924,0.24798062782805955,1.0969264705882011,24,28,0.04841871248870665
Cane Bay Deep,2024,23.8875260416667,30.735078125,28.99524273729725,3.7158060661765013,1.1263528607606854,30,11,31,489.71362571271794,0.15515021681749622,0.35066145833330253,31,21,0.03884612627546076
Castle,2023,18.6817132352941,30.7988676470588,28.534114039955604,4.650624999999998,1.4891082388970953,24,11,22,253.2639485294114,0.2622710690045306,1.1526911764705972,25,27,0.05218694496040544
Castle,2024,21.6446354166668,31.0235104166667,29.153435731132085,3.7084074754901977,1.2111965687786828,30,17,30,399.39822916666805,0.15711790629713074,0.7525937499999991,32,20,0.04154558591134705
Coculus Rock,2023,18.6060142156863,30.8158492647059,28.75002891694413,4.8145110294118005,1.581141616643458,28,15,24,259.53361544117644,0.29890858314479246,1.048577205882399,25,27,0.05499617482859628
Coculus Rock,2024,21.8528645833332,31.3590520833333,29.32926976391971,3.9902101715685987,1.2631571144444556,31,23,31,408.0407135416654,0.185058829421194,0.8641302083333002,27,25,0.04306814061897874
College Shoal East,2023,17.5813676470589,30.2598014705882,28.145019145394002,3.947345588235301,1.2690168357947764,14,1,21,206.45273529411847,0.2704807692307694,1.1343602941176982,30,22,0.045088504976286504
